food_name,serving_quantity,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_ug,vitamin_b12_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug
"Kambu Rice / Samai Rice / Varagu Rice (Plain, Cooked Baseline)",100 g,116,3.4,22.1,1.1,3.2,0.1,0.2,0,4,95,15,2.1,46,114,0.76,1,0.14,0.04,1.15,0.24,0.11,14.5,0,0,0,0.12,0.3
Kanchipuram Idli,1 piece (~65g),120,3.2,17.8,4.1,1.6,0.2,1.8,5,185,82,18,0.62,21,48,0.35,12,0.07,0.03,0.48,0.14,0.05,4.8,0,0.4,0.05,0.15,0.6
Keerai Masiyal / Keerai Kootu,100 g,68,2.8,5.4,3.9,3.2,0.4,0.6,0,240,310,145,2.8,54,52,0.48,420,0.07,0.12,0.65,0.24,0.14,85.0,0,28.0,0,1.15,240.0
Kiwi / Pear / Strawberry / Blueberry / Dragon Fruit / Custard Apple (Raw),100 g,57,0.7,14.1,0.3,2.4,9.8,0.02,0,2,152,14,0.24,11,19,0.1,2,0.03,0.03,0.31,0.15,0.05,14.0,0,41.2,0,0.42,3.8
Kootu / Avial / Pumpkin Kootu,100 g,98,2.4,9.1,6.1,2.5,2.1,4.2,0,210,195,34,0.88,21,48,0.35,82,0.06,0.04,0.51,0.22,0.07,18.2,0,4.5,0,0.42,6.8
Kothu Parotta / Vegetable Kothu Parotta,100 g,210,4.5,29.2,8.4,2.1,1.4,2.2,3,395,114,21,0.95,19,62,0.48,28,0.11,0.06,1.32,0.19,0.06,16.0,0,3.4,0.01,0.72,2.8
Kozhukattai (Savory),1 piece (~45g),78,1.4,14.8,1.4,0.6,0.1,0.8,0,110,44,7,0.32,10,26,0.18,2,0.03,0.01,0.32,0.06,0.03,2.1,0,0.2,0,0.08,0.3
Kuthiraivali Pongal,100 g,174,4.8,22.2,6.8,3.2,0.2,3.4,10,285,145,18,1.95,44,105,0.74,42,0.14,0.04,1.15,0.25,0.1,18.5,0.01,0.3,0.06,0.36,1.1
Kuzhi Paniyaram,1 piece (~25g),48,0.9,7.4,1.6,0.4,0.05,0.3,0,68,28,5,0.25,7,18,0.12,1,0.02,0.01,0.16,0.04,0.02,1.4,0,0.1,0,0.14,0.4
Kuzhi Paniyaram / Kara Paniyaram,1 piece (~25g),48,0.9,7.4,1.6,0.4,0.05,0.3,0,68,28,5,0.25,7,18,0.12,1,0.02,0.01,0.16,0.04,0.02,1.4,0,0.1,0,0.14,0.4
Lachha Paratha,1 piece (~80g),262,5.4,38.2,9.8,1.8,0.6,4.5,14,290,88,19,0.92,21,64,0.48,42,0.12,0.05,1.45,0.21,0.06,14.8,0.02,0,0.08,0.54,1.9
Lassi / Rose Milk / Badam Milk (Traditional sweetened setup),100 g (~100ml),94,2.8,13.5,3.1,0.2,12.8,1.9,9,38,124,105,0.18,12,84,0.34,28,0.03,0.12,0.15,0.31,0.04,4.2,0.38,0.4,0.04,0.21,0.2
Lemon Juice / Fresh Lime Soda (With Sweetener),100 g,38,0.1,9.6,0.0,0.1,9.2,0.0,0,8,22,4,0.05,2,3,0.02,0,0.01,0.01,0.04,0.03,0.01,2.2,0,9.4,0,0.03,0.1
Lemon Rice,100 g,168,3.1,24.8,6.2,0.9,0.4,0.9,0,280,62,12,0.65,16,46,0.36,14,0.05,0.02,0.48,0.14,0.04,6.2,0,5.4,0,0.58,1.8
Mango (Raw slice),100 g,60,0.8,15.0,0.4,1.6,13.7,0.09,0,1,168,11,0.16,10,14,0.09,54,0.03,0.04,0.67,0.2,0.12,43.0,0,36.4,0,0.9,4.2
Masala Dosa,1 piece (~150g),315,5.4,48.2,11.2,3.8,1.4,2.5,0,460,320,32,1.95,42,98,0.75,42,0.14,0.07,1.15,0.35,0.16,14.5,0,5.8,0,1.25,3.8
Masala Vadai / Paruppu Vadai,1 piece (~40g),134,3.1,11.2,8.5,2.4,0.4,1.2,0,165,142,15,0.88,24,52,0.34,8,0.07,0.03,0.45,0.12,0.05,18.0,0,0.8,0,1.15,3.4
Medu Vada / Masala Vada,1 piece (~45g),148,2.8,12.5,9.6,1.4,0.1,1.4,0,180,92,14,0.65,18,44,0.28,2,0.05,0.02,0.38,0.09,0.04,12.5,0,0.2,0,1.22,3.8
Medu Vadai / Ulundhu Vadai,1 piece (~45g),148,2.8,12.5,9.6,1.4,0.1,1.4,0,180,92,14,0.65,18,44,0.28,2,0.05,0.02,0.38,0.09,0.04,12.5,0,0.2,0,1.22,3.8
Milk (Whole Cow Milk),100 g (~100ml),61,3.2,4.7,3.3,0,4.7,2.1,10,44,139,118,0.03,11,91,0.38,29,0.03,0.14,0.09,0.36,0.04,4.5,0.42,0.5,0.04,0.06,0.2
Milk / Skim Milk / Full Cream Milk (Baseline average mapping),100 g (~100ml),61,3.2,4.7,3.3,0,4.7,2.1,10,44,139,118,0.03,11,91,0.38,29,0.03,0.14,0.09,0.36,0.04,4.5,0.42,0.5,0.04,0.06,0.2
Millet Meals / Thinai Rice + Sambar (Composite Density),100 g,114,3.8,19.5,2.1,3.4,0.9,0.4,0,190,148,26,1.35,41,88,0.65,28,0.12,0.04,1.1,0.22,0.1,21.0,0,1.8,0,0.28,1.4
Millet Rice (Cooked Foxtail/Barnyard),100 g,118,3.5,22.4,1.0,2.8,0.08,0.15,0,3,92,14,1.6,52,120,0.82,0,0.14,0.04,1.2,0.25,0.11,14.0,0,0,0,0.06,0.2
Mini Idli,1 piece (~12g),17,0.5,3.4,0.03,0.3,0.03,0.01,0,30,14,2.4,0.2,4.2,9.6,0.06,0,0.015,0.006,0.1,0.02,0.01,0.9,0,0,0,0.01,0.03
Mini Meals (Composite Density),100 g,152,3.4,23.8,4.9,1.8,1.4,1.5,2,295,128,32,0.84,21,58,0.46,28,0.07,0.04,0.65,0.18,0.06,12.0,0.01,2.8,0.01,0.51,2.4
Mint / Coriander / Curry Leaf Rice,100 g,148,3.2,23.5,4.6,1.8,0.5,0.7,0,295,145,28,1.15,22,48,0.38,110,0.06,0.04,0.55,0.18,0.07,18.5,0,8.4,0,0.48,12.5
Mint / Coriander Chutney,100 g,62,1.9,5.4,3.8,2.4,0.8,0.5,0,380,240,48,2.1,22,34,0.31,185,0.06,0.05,0.52,0.16,0.08,42.0,0,24.0,0,0.64,45.0
Mixed Nuts / Almonds / Walnuts (Standardized Matrix),100 g,607,18.4,16.8,54.2,8.1,4.2,5.4,0,4,620,185,3.4,210,410,2.9,1,0.32,0.58,3.8,0.85,0.28,44.0,0,0.4,0,14.5,2.8
Mor Kuzhambu,100 g,62,1.9,4.2,4.5,0.6,2.4,2.6,8,260,110,85,0.22,11,54,0.31,24,0.02,0.08,0.15,0.24,0.03,4.5,0.22,0.8,0.04,0.11,0.4
Muesli with Milk,100 g,138,4.9,22.4,3.2,2.1,6.4,1.1,4,72,210,128,1.45,32,118,0.72,42,0.16,0.22,1.15,0.42,0.14,24.0,0.48,1.4,0.85,0.68,0.9
Mushroom Dosa / Mysore Masala Dosa,1 piece (~140g),268,5.8,41.5,8.5,3.4,1.6,1.8,0,390,285,26,1.65,34,82,0.68,22,0.12,0.08,1.65,0.31,0.12,14.0,0.04,4.2,0.15,0.85,2.6
"Mutton (Raw, Lean Cut)",100 g,143,20.2,0.0,6.5,0,0,2.8,68,62,285,11,2.45,22,168,3.82,0,0.11,0.22,4.95,0.65,0.24,6.0,2.15,0,0.1,0.21,0.0
Mutton Biryani,100 g,198,9.8,21.1,8.2,0.8,0.4,3.4,32,355,182,20,1.42,26,98,1.48,11,0.08,0.07,2.1,0.32,0.12,8.8,0.74,0.8,0.06,0.44,1.5
Mutton Curry / Chukka / Pepper Fry,100 g,185,16.4,2.8,12.2,0.8,0.4,5.4,64,320,210,19,2.1,22,145,2.8,11,0.08,0.16,3.8,0.48,0.18,8.0,1.8,0.8,0.08,0.42,1.4
Mutton Curry / Chukka with Rice (Composite Density),100 g,172,8.2,19.8,6.8,0.7,0.3,2.8,26,280,162,16,1.25,24,85,1.35,12,0.06,0.07,1.95,0.28,0.11,7.2,0.68,0.6,0.05,0.38,1.1
Mutton Liver,100 g,138,21.1,1.8,5.1,0,0,1.8,380,79,284,9,12.4,21,340,4.1,7400,0.34,2.84,11.8,6.8,0.92,240.0,58.0,11.5,0.4,0.65,0.0
Naan / Kulcha,1 piece (~80g),235,6.1,43.8,3.8,1.5,1.4,0.9,4,360,64,38,0.88,14,68,0.41,6,0.14,0.08,1.85,0.22,0.04,24.0,0.01,0,0.01,0.24,0.8
Neer Dosa,1 piece (~30g),48,0.8,9.8,0.6,0.2,0.02,0.1,0,45,11,2,0.08,4,12,0.09,0,0.01,0.01,0.15,0.02,0.01,0.8,0,0,0,0.04,0.1
Nuts Mix (Almonds / Cashews / Walnuts / Pistachios / Peanuts),100 g,575,20.2,22.1,48.5,8.5,4.5,5.2,0,4,710,142,4.1,195,420,3.1,4,0.42,0.32,4.2,0.72,0.38,54.0,0,0.5,0,11.2,11.4
Oats Dosa / Thinai / Kambu / Varagu / Samai Dosa,1 piece (~65g),134,3.9,22.1,2.8,2.1,0.1,0.4,0,180,122,16,1.35,38,94,0.64,1,0.14,0.04,1.15,0.22,0.09,15.2,0,0,0,0.38,1.3
Oats Idli,1 piece (~50g),78,2.4,13.5,1.4,1.6,0.3,0.2,0,145,74,19,0.58,18,46,0.36,11,0.07,0.03,0.41,0.12,0.04,8.4,0,0.6,0,0.18,0.8
Oats Porridge (with Water),100 g,54,1.9,9.4,0.9,1.4,0.1,0.15,0,45,54,8,0.62,18,44,0.42,0,0.08,0.02,0.15,0.14,0.02,4.5,0,0,0,0.06,0.3
Oats Upma / Vegetable Oats,100 g,118,3.1,16.2,4.5,2.8,0.9,0.7,0,285,142,22,1.05,28,74,0.62,58,0.12,0.04,0.45,0.22,0.06,14.5,0,4.2,0,0.54,3.2
Okra Fry (Bhindi) / Brinjal Curry,100 g,92,1.8,8.4,5.8,3.1,2.4,0.8,0,220,210,42,0.82,36,41,0.38,45,0.09,0.05,0.62,0.24,0.15,38.0,0,11.2,0,0.68,22.0
Omelette / Egg Bhurji (2 Egg Base Setup),1 piece (~120g),215,12.8,2.4,17.2,0.4,1.2,4.6,372,280,172,56,1.45,14,182,1.14,154,0.08,0.53,0.24,1.46,0.14,46.5,1.14,2.4,2.2,1.64,4.5
Onion (Raw),100 g,40,1.1,9.3,0.1,1.7,4.2,0.04,0,4,146,23,0.21,10,29,0.17,0,0.05,0.03,0.12,0.12,0.12,19.0,0,7.4,0,0.02,0.4
Onion Dosa,1 piece (~90g),178,3.6,29.5,4.8,2.1,1.8,0.8,0,245,142,21,1.05,26,64,0.44,4,0.09,0.04,0.58,0.18,0.08,7.2,0,2.4,0,0.52,1.8
Orange,1 piece (~130g),61,1.2,15.3,0.1,3.1,12.2,0.02,0,0,235,52,0.13,13,18,0.09,14,0.11,0.05,0.37,0.32,0.08,39.0,0,69.2,0,0.23,0.0
Pakoda / Murukku / Thattai / Seedai / Mixture / Kara Sev / Ribbon Pakoda,100 g,525,9.5,51.4,31.2,3.8,1.1,6.4,0,680,240,54,2.1,48,142,0.88,18,0.14,0.06,1.45,0.32,0.11,24.0,0,0.6,0,4.85,12.4
Paneer,100 g,265,18.3,1.2,20.8,0,1.2,13.4,64,18,52,480,0.22,16,294,1.15,142,0.03,0.22,0.14,0.26,0.04,11.0,0.82,0,0.25,0.38,1.2
Paneer Biryani / Fried Rice,100 g,192,6.8,23.1,8.1,1.1,0.8,4.5,18,325,114,110,0.74,19,94,0.64,41,0.06,0.08,1.1,0.26,0.07,11.0,0.22,1.2,0.08,0.45,1.9
Paneer Butter Masala / Kadai / Palak Paneer,100 g,185,8.4,4.5,15.6,0.8,2.1,8.4,26,340,114,220,0.68,18,142,0.65,110,0.04,0.16,0.32,0.28,0.06,18.0,0.45,2.8,0.14,0.58,18.5
Paneer Cubes,100 g,265,18.3,1.2,20.8,0,1.2,13.4,64,18,52,480,0.22,16,294,1.15,142,0.03,0.22,0.14,0.26,0.04,11.0,0.82,0,0.25,0.38,1.2
Paneer Curry,100 g,164,7.4,4.1,13.5,0.6,1.1,7.2,22,285,84,165,0.34,12,118,0.52,54,0.03,0.11,0.24,0.22,0.04,6.8,0.32,0.8,0.11,0.35,1.1
Paneer Paratha,1 piece (~130g),345,11.2,41.8,15.2,3.8,1.4,7.4,28,410,195,180,1.82,44,165,1.14,58,0.16,0.12,1.82,0.38,0.12,24.5,0.28,1.2,0.11,0.72,3.8
Paniyaram (Kuzhi Paniyaram),1 piece (~25g),48,0.9,7.4,1.6,0.4,0.05,0.3,0,68,28,5,0.25,7,18,0.12,1,0.02,0.01,0.16,0.04,0.02,1.4,0,0.1,0,0.14,0.4
Parotta,1 piece (~80g),258,6.2,41.5,7.4,1.4,0.8,1.8,4,380,68,14,0.85,16,58,0.42,4,0.12,0.06,1.45,0.18,0.04,18.5,0,0,0.02,0.65,2.4
Parotta / Ceylon / Bun / Veechu Parotta,1 piece (~80g),258,6.2,41.5,7.4,1.4,0.8,1.8,4,380,68,14,0.85,16,58,0.42,4,0.12,0.06,1.45,0.18,0.04,18.5,0,0,0.02,0.65,2.4
Payasam / Kheer / Sweet Pongal,100 g,145,3.2,24.2,3.9,0.4,18.5,2.2,11,42,128,102,0.45,14,78,0.38,34,0.03,0.12,0.22,0.28,0.04,4.5,0.34,0.4,0.04,0.12,0.3
Peanut Butter Sandwich,"1 piece (2 slices bread + 1.5 tbsp PB, ~90g)",310,11.4,34.2,14.8,3.8,5.2,2.8,0,390,224,52,1.95,62,145,1.12,0,0.18,0.09,4.8,0.42,0.14,34.0,0,0,0,2.85,1.1
Peanut Chutney,100 g,245,8.5,9.8,19.4,3.1,1.8,2.9,0,350,260,28,1.35,58,124,0.94,6,0.18,0.04,4.1,0.45,0.12,46.5,0,0.8,0,2.95,1.1
Peanut Sundal,100 g,285,11.2,12.4,21.5,4.6,2.1,3.4,0,240,340,38,1.85,84,182,1.42,8,0.28,0.06,5.4,0.65,0.18,62.0,0,1.1,0,3.85,1.2
Peanut Sundal / Roasted Peanuts,100 g,567,25.8,16.1,49.2,8.5,4.7,6.8,0,18,705,92,4.6,168,376,3.3,0,0.64,0.14,12.1,1.76,0.35,240.0,0,0,0,8.33,0.7
Peanuts,100 g,567,25.8,16.1,49.2,8.5,4.7,6.8,0,18,705,92,4.6,168,376,3.3,0,0.64,0.14,12.1,1.76,0.35,240.0,0,0,0,8.33,0.7
Pesarattu (Green Gram Dosa),1 piece (~85g),165,7.8,26.2,3.4,4.6,1.1,0.5,0,240,324,34,1.82,52,124,0.88,18,0.18,0.08,0.95,0.28,0.12,42.0,0,1.6,0,0.55,2.8
Pickle (Mango / Lemon Oil-Based),100 g,185,1.4,12.8,14.2,3.1,6.5,2.1,0,4200,160,45,1.2,18,24,0.22,115,0.03,0.04,0.45,0.14,0.06,8.0,0,14.2,0,2.15,4.5
Pineapple / Grapes / Sapota / Jackfruit / Muskmelon (Raw slice),100 g,50,0.5,13.1,0.1,1.4,9.9,0.01,0,1,109,13,0.29,12,8,0.12,3,0.08,0.03,0.5,0.21,0.11,18.0,0,47.8,0,0.02,0.7
Pistachios,100 g,562,20.2,27.5,45.3,10.6,7.6,5.9,0,1,1025,105,3.92,121,490,2.2,26,0.87,0.16,1.3,0.52,1.7,51.0,0,5.6,0,2.3,13.2
Plain Dosa / Roast Dosa,1 piece (~60g),125,2.8,22.4,2.7,1.1,0.1,0.5,0,178,74,12,0.72,18,46,0.32,0,0.06,0.03,0.42,0.1,0.04,3.6,0,0,0,0.35,1.2
Pomegranate (Arils),100 g,83,1.7,18.7,1.2,4.0,13.7,0.12,0,3,236,10,0.3,12,36,0.35,0,0.07,0.05,0.29,0.38,0.08,38.0,0,10.2,0,0.6,16.4
Pongal (Sweet),100 g,245,3.8,44.5,5.9,1.1,28.2,3.4,11,48,118,28,1.62,26,68,0.45,41,0.06,0.03,0.62,0.15,0.05,9.5,0.01,0.2,0.06,0.28,0.9
Pongal (Ven / Khara Pongal),100 g,185,4.6,24.8,7.6,2.2,0.2,3.8,12,285,142,18,1.15,32,78,0.58,46,0.09,0.04,0.75,0.18,0.07,16.5,0.01,0.4,0.08,0.32,1.1
Poori,1 piece (~35g),122,2.4,15.4,5.8,1.8,0.1,0.9,0,92,94,11,0.98,31,74,0.55,0,0.11,0.03,1.12,0.18,0.07,11.2,0,0,0,0.82,3.1
Popcorn (Plain Air Popped),100 g,387,12.9,77.8,4.5,14.5,0.8,0.6,0,4,329,7,3.1,144,358,3.1,11,0.2,0.08,2.6,0.5,0.16,31.0,0,0,0,0.29,1.2
Pori (Puffed Rice) Plain,100 g,363,6.4,80.1,0.4,1.5,0.1,0.08,0,6,112,14,1.22,31,108,0.52,0,0.08,0.02,1.25,0.22,0.05,6.0,0,0,0,0.02,0.1
Poriyal (Beans / Cabbage / Carrot / Beetroot Base),100 g,74,1.6,8.2,4.2,2.8,3.4,2.1,0,195,182,28,0.65,14,32,0.24,180,0.05,0.04,0.42,0.18,0.08,24.0,0,12.5,0,0.38,14.0
Potato (Raw),100 g,77,2.0,17.5,0.1,2.2,0.8,0.03,0,6,421,12,0.78,23,57,0.29,0,0.08,0.03,1.05,0.3,0.3,16.0,0,19.7,0,0.01,1.9
Potato Fry / Yam Fry / Raw Banana Fry,100 g,164,2.1,21.5,7.8,2.4,1.1,1.2,0,285,340,16,0.95,24,54,0.36,14,0.08,0.03,1.2,0.28,0.16,11.0,0,8.5,0,0.92,3.4
Potato Masala (Dosa Stuffing Style),100 g,124,2.1,18.5,4.8,2.2,1.4,0.6,0,310,295,18,0.78,21,46,0.32,28,0.08,0.03,1.1,0.28,0.14,12.0,0,7.2,0,0.52,2.1
Potato Masala / Potato Fry,100 g,124,2.1,18.5,4.8,2.2,1.4,0.6,0,310,295,18,0.78,21,46,0.32,28,0.08,0.03,1.1,0.28,0.14,12.0,0,7.2,0,0.52,2.1
Prawn / Crab Curry / Masala / Fry,100 g,128,15.4,3.1,6.1,0.5,0.2,0.9,114,380,195,46,0.95,29,135,1.65,41,0.04,0.05,2.1,0.32,0.12,14.0,1.8,0.8,0.12,1.15,0.9
Prawn / Crab Curry with Rice (Composite Density),100 g,141,7.1,20.5,3.4,0.5,0.4,0.8,28,315,138,26,0.74,23,81,0.68,15,0.04,0.04,1.55,0.24,0.09,5.8,0.54,0.7,0.12,0.48,0.9
"Prawns (Raw, Peeled)",100 g,85,20.1,0.0,0.5,0,0,0.1,152,118,220,52,0.48,31,205,1.11,54,0.03,0.03,2.5,0.34,0.11,4.0,1.15,0,0.1,1.42,0.0
Pulses Matrix (Boiled Chickpeas / Moong / Urad / Kollu / Karamani / Rajma),100 g,139,7.6,20.1,1.1,5.8,1.1,0.15,0,4,292,36,2.1,43,115,0.84,4,0.14,0.05,0.65,0.24,0.11,52.0,0,1.2,0,0.34,2.1
Pumpkin / Ash / Bitter / Snake / Bottle / Ridge Gourd / Cucumber (Raw),100 g,15,0.6,3.6,0.1,0.5,1.7,0.01,0,2,147,16,0.28,13,24,0.2,5,0.03,0.03,0.4,0.26,0.04,7.0,0,2.8,0,0.03,1.1
Puttu,100 g,240,4.5,44.2,4.8,1.8,0.4,3.6,0,160,82,12,0.65,19,54,0.45,0,0.06,0.02,0.74,0.14,0.05,3.8,0,0.1,0,0.06,0.2
Ragi / Millet Idli,1 piece (~45g),62,1.6,12.8,0.2,1.9,0.1,0.03,0,112,124,110,1.05,32,64,0.48,1,0.11,0.04,0.45,0.16,0.08,11.0,0,0,0,0.12,0.4
Ragi Dosa,1 piece (~65g),132,3.1,24.2,2.5,3.1,0.2,0.4,0,182,185,162,1.42,48,92,0.72,2,0.14,0.06,0.58,0.24,0.11,14.2,0,0,0,0.32,1.1
Ragi Idli,1 piece (~45g),62,1.6,12.8,0.2,1.9,0.1,0.03,0,112,124,110,1.05,32,64,0.48,1,0.11,0.04,0.45,0.16,0.08,11.0,0,0,0,0.12,0.4
"Ragi Mudde (Plain, Cooked)",100 g,120,2.6,25.4,0.5,3.6,0.2,0.1,0,15,145,344,3.8,65,126,0.92,2,0.18,0.08,0.65,0.31,0.14,16.2,0,0,0,0.18,0.6
Ragi Porridge / Malt (Unsweetened),100 g,68,1.5,14.2,0.4,2.2,0.1,0.05,0,42,135,122,1.12,38,74,0.52,1,0.12,0.05,0.42,0.18,0.09,11.5,0,0,0,0.15,0.5
Raisins / Dates (Dried),100 g,285,2.1,76.2,0.3,5.4,62.4,0.04,0,8,720,54,1.2,42,82,0.32,2,0.06,0.08,1.2,0.42,0.18,8.0,0,1.1,0,0.11,3.1
Rajma Curry / Chole Masala,100 g,134,6.2,18.5,4.1,4.8,1.4,0.6,0,325,290,38,1.92,41,114,0.78,14,0.12,0.05,0.68,0.24,0.1,42.0,0,2.4,0,0.46,2.1
Rasam,100 g,34,0.6,4.8,1.5,0.5,0.3,0.2,0,285,62,12,0.38,9,14,0.14,14,0.02,0.01,0.28,0.04,0.03,3.8,0,3.4,0,0.12,1.1
Rasam Rice,100 g,98,1.8,19.8,1.2,0.6,0.4,0.2,0,230,58,11,0.42,14,35,0.32,12,0.03,0.02,0.38,0.11,0.04,5.4,0,2.1,0,0.15,0.8
Rasgulla,1 piece (~40g),74,1.6,14.5,1.1,0,13.8,0.7,3,12,21,48,0.05,3,31,0.12,11,0.01,0.03,0.02,0.04,0.01,1.1,0.08,0,0.02,0.02,0.1
Rava Dosa,1 piece (~70g),155,3.8,25.4,4.2,1.1,0.5,0.9,0,225,92,18,0.88,20,56,0.42,5,0.09,0.04,0.82,0.18,0.06,11.2,0,0.2,0,0.48,1.4
Rava Idli,1 piece (~50g),94,2.4,15.2,2.6,0.7,0.4,0.8,2,165,68,24,0.52,12,38,0.28,8,0.06,0.04,0.55,0.12,0.04,8.5,0.05,0.2,0.02,0.12,0.4
Rava Pongal,100 g,172,4.9,22.1,6.8,1.4,0.4,3.4,10,290,118,22,1.02,25,72,0.52,42,0.09,0.04,0.95,0.16,0.06,18.2,0.01,0.3,0.06,0.28,0.9
Rava Upma / Wheat Upma,100 g,142,3.2,22.1,4.5,1.2,0.6,0.8,0,310,85,16,0.78,18,48,0.36,14,0.08,0.03,0.72,0.14,0.05,9.5,0,1.8,0,0.48,1.6
Raw Pulses Baseline (Whole Dry Chickpeas / Rajma / Moong / Horse Gram),100 g,335,22.1,57.4,1.8,14.2,2.4,0.25,0,12,840,74,5.8,140,340,2.8,15,0.48,0.18,2.4,0.72,0.38,180.0,0,1.5,0,0.55,5.4
Raw Split Dals (Toor / Moong / Masoor / Urad / Chana Dal Matrix),100 g,343,23.8,58.9,1.4,11.5,2.1,0.22,0,8,810,56,4.4,122,310,2.4,12,0.45,0.15,2.2,0.61,0.32,145.0,0,0,0,0.42,4.8
Raw Splits (Toor / Moong / Urad / Masoor / Chana Dal),100 g,343,23.8,58.9,1.4,11.5,2.1,0.22,0,8,810,56,4.4,122,310,2.4,12,0.45,0.15,2.2,0.61,0.32,145.0,0,0,0,0.42,4.8
Raw Whole Legumes (Green / Black Gram / Kidney / Black-Eyed / Soybeans),100 g,335,22.1,57.4,1.8,14.2,2.4,0.25,0,12,840,74,5.8,140,340,2.8,15,0.48,0.18,2.4,0.72,0.38,180.0,0,1.5,0,0.55,5.4
Red Rice (Cooked),100 g,115,2.7,23.1,1.1,2.2,0.1,0.2,0,5,88,11,1.2,48,115,0.72,2,0.12,0.03,1.8,0.32,0.18,9.5,0,0,0,0.08,0.3
Rice + Mor Kuzhambu,100 g,118,2.8,20.1,2.9,0.8,1.4,1.4,4,240,94,46,0.38,15,52,0.39,21,0.04,0.05,0.41,0.18,0.04,6.2,0.11,0.6,0.02,0.22,0.9
Rice + Rasam,100 g,98,1.8,19.8,1.2,0.6,0.4,0.2,0,230,58,11,0.42,14,35,0.32,12,0.03,0.02,0.38,0.11,0.04,5.4,0,2.1,0,0.15,0.8
Rice + Sambar,100 g,112,2.6,21.5,1.6,1.5,0.8,0.3,0,210,92,16,0.54,18,44,0.41,24,0.04,0.02,0.48,0.14,0.05,9.2,0,1.6,0,0.18,1.1
Rice + Vatha / Kara / Puli Kuzhambu,100 g,126,2.1,22.4,3.1,1.2,1.6,0.5,0,265,74,19,0.68,16,41,0.35,18,0.04,0.02,0.42,0.12,0.04,6.5,0,1.1,0,0.34,1.4
Rice + Vegetable Kurma,100 g,132,2.5,21.8,3.8,1.4,1.1,2.1,0,215,120,18,0.58,17,45,0.39,34,0.05,0.03,0.55,0.18,0.06,9.4,0,2.4,0,0.26,1.4
Roasted Chana,100 g,369,18.6,58.2,5.8,10.8,2.4,0.6,0,12,720,56,4.8,115,284,1.9,14,0.38,0.12,1.45,0.54,0.28,145.0,0,1.2,0,0.82,4.2
Rumali Roti,1 piece (~50g),142,3.8,28.5,1.4,1.2,0.4,0.3,0,195,46,12,0.58,11,42,0.29,0,0.08,0.04,1.1,0.12,0.03,11.5,0,0,0,0.12,0.4
Samai Upma,100 g,141,3.9,21.9,4.2,3.6,0.5,0.7,0,310,128,14,3.4,46,95,0.72,11,0.15,0.04,0.92,0.24,0.09,14.2,0,1.5,0,0.48,1.6
Sambar,100 g,65,2.1,8.9,2.4,1.8,1.4,0.4,0,340,148,24,0.72,21,48,0.35,48,0.05,0.03,0.48,0.12,0.06,14.2,0,3.1,0,0.24,1.8
Sambar Idli,100 g,112,3.8,19.5,2.1,2.4,1.1,0.35,0,310,165,22,0.85,26,64,0.45,35,0.08,0.04,0.65,0.18,0.08,11.5,0,2.1,0,0.22,1.4
Sambar Rice,100 g,146,3.8,22.8,4.3,2.1,1.2,1.9,5,295,132,20,0.85,22,64,0.48,38,0.07,0.03,0.68,0.16,0.06,14.0,0.01,1.4,0.04,0.31,1.4
Samosa,1 piece (~70g),210,3.4,24.5,11.2,1.8,1.1,2.8,0,285,145,16,0.88,15,48,0.34,11,0.07,0.03,0.95,0.18,0.08,11.0,0,4.2,0,1.12,2.4
Sardines (Raw),100 g,124,19.2,0.0,4.6,0,0,1.2,61,82,341,142,2.1,34,240,1.42,28,0.08,0.18,4.8,0.54,0.21,8.0,7.4,0,4.8,0.82,0.1
Savory Deep Matrix (Murukku / Mixture / Banana / Potato Chips),100 g,525,9.5,51.4,31.2,3.8,1.1,6.4,0,680,240,54,2.1,48,142,0.88,18,0.14,0.06,1.45,0.32,0.11,24.0,0,0.6,0,4.85,12.4
Seeds Matrix (Sesame / Pumpkin / Sunflower / Flax / Chia Seeds),100 g,545,19.5,24.2,43.1,14.8,1.1,5.4,0,14,590,410,6.8,310,520,5.1,4,0.54,0.18,3.4,0.65,0.44,78.0,0,0.8,0,6.4,4.5
Semiya Upma,100 g,152,3.4,24.1,4.6,0.9,0.4,0.8,0,315,78,14,0.72,15,44,0.32,11,0.07,0.03,0.68,0.12,0.04,8.8,0,1.4,0,0.5,1.5
Sesame Rice,100 g,195,4.2,23.8,9.4,1.9,0.3,1.4,0,275,118,114,1.65,42,94,0.85,4,0.08,0.02,0.82,0.21,0.08,11.0,0,0.4,0,0.88,1.6
Set Dosa,1 piece (~50g),105,2.2,18.5,2.4,0.9,0.2,0.4,0,145,62,10,0.58,15,38,0.26,0,0.05,0.03,0.36,0.08,0.03,3.1,0,0,0,0.3,0.9
Soy Chunks (Dry Raw),100 g,345,52.0,33.0,0.5,13.0,4.5,0.08,0,20,1450,350,14.5,240,640,4.8,0,0.45,0.25,2.8,0.65,0.41,175.0,0,0,0,0.15,1.2
